Molecule Name,Total Molweight,Molweight,cLogP,cLogS,H-Acceptors,H-Donors,Total Surface Area,Relative PSA,Polar Surface Area,Druglikeness,Mutagenic,Tumorigenic,Reproductive Effective,Irritant,Rotatable Bonds,Ligand,Binding Affinity,Extracted_ZINC,Is_Correct_Alignment
ZINC15675480,366.448,366.448,-1.2883,-2.067,8,2,298.26,0.33709,97.82,-2.5121,none,none,none,none,4,hur_model_ZINC15675480_uff_E=711.77,-8.0,ZINC15675480,True
ZINC49171729,407.58,407.58,1.2933,-4.043,5,2,346.57,0.15151,41.71,2.3029,none,none,none,none,4,hur_model_ZINC49171729_uff_E=619.94,-7.6,ZINC49171729,True
ZINC49171744,451.633,451.633,1.2008,-3.964,6,2,384.09,0.16275,50.94,2.1796,none,none,none,none,7,hur_model_ZINC49171744_uff_E=662.66,-6.4,ZINC49171744,True
ZINC15675482,403.469,403.469,-1.7242,-1.8,9,2,325.04,0.32024,101.06,3.3798,none,high,none,none,5,hur_model_ZINC15675482_uff_E=754.69,-8.0,ZINC15675482,True
ZINC49171747,406.552,406.552,0.4985,-1.706,6,3,314.84,0.15786,65.13,3.3556,none,none,none,none,7,hur_model_ZINC49171747_uff_E=774.29,-7.0,ZINC49171747,True
ZINC49171750,420.579,420.579,0.5477,-2.013,6,3,316.82,0.15687,65.13,7.0896,none,none,none,none,7,hur_model_ZINC49171750_uff_E=2071.23,-7.9,ZINC49171750,True
ZINC49168983,325.842,325.842,4.2569,-3.624,3,1,247.97,0.11497,31.92,3.5846,none,none,none,none,3,hur_model_ZINC49168983_uff_E=591.59,-7.3,ZINC49168983,True
ZINC49171753,420.579,420.579,0.695,-2.231,6,3,316.82,0.15687,65.13,5.2905,none,none,none,none,6,hur_model_ZINC49171753_uff_E=1291.27,-8.0,ZINC49171753,True
ZINC49168990,327.377,327.377,3.8525,-3.516,3,1,245.25,0.11625,31.92,2.2209,none,none,none,none,3,hur_model_ZINC49168990_uff_E=592.77,-7.6,ZINC49168990,True
ZINC20503859,389.61,389.61,-2.2057,-1.806,5,4,334.73,0.26783,68.27,4.1123,none,none,none,none,5,hur_model_ZINC20503859_uff_E=665.74,-6.5,ZINC20503859,True
ZINC49171756,434.606,434.606,1.037,-2.501,6,3,330.58,0.15034,65.13,3.5726,none,none,none,none,6,hur_model_ZINC49171756_uff_E=990.55,-7.8,ZINC49171756,True
ZINC20503861,455.673,455.673,-3.0369,-1.541,7,4,382.45,0.28106,86.09,6.4467,high,high,none,none,6,hur_model_ZINC20503861_uff_E=910.23,-7.1,ZINC20503861,True
ZINC15675494,366.428,366.428,-1.754,-1.774,8,2,286.16,0.42249,126.06,4.3022,none,none,none,none,4,hur_model_ZINC15675494_uff_E=864.23,-7.5,ZINC15675494,True
ZINC49171757,406.552,406.552,0.353,-1.961,6,3,303.06,0.16399,65.13,6.5099,none,none,none,none,6,hur_model_ZINC49171757_uff_E=2042.03,-7.8,ZINC49171757,True
