Ligand,Binding Affinity
hur_model_ZINC20464531_uff_E=1069.23,-10.4
hur_model_ZINC06576216_uff_E=323.11,-9.9
hur_model_ZINC06576219_uff_E=322.63,-9.9
hur_model_ZINC15675972_uff_E=919.20,-9.8
hur_model_ZINC77267551_uff_E=1044.32,-9.8
hur_model_ZINC15675941_uff_E=844.87,-9.7
hur_model_ZINC67878890_uff_E=783.98,-9.6
hur_model_ZINC15675940_uff_E=788.17,-9.6
hur_model_ZINC12603198_uff_E=663.19,-9.5
hur_model_ZINC77267538_uff_E=1112.05,-9.5
hur_model_ZINC15675916_uff_E=661.40,-9.5
hur_model_ZINC15675932_uff_E=973.80,-9.5
hur_model_ZINC15675940_uff_E=788.17,-9.5
hur_model_ZINC09186673_uff_E=457.76,-9.5
hur_model_ZINC67870574_uff_E=1034.13,-9.4
hur_model_ZINC22752898_uff_E=403.52,-9.4
hur_model_ZINC12603198_uff_E=663.19,-9.4
hur_model_ZINC15675542_uff_E=943.38,-9.4
hur_model_ZINC20504069_uff_E=619.33,-9.4
hur_model_ZINC08846613_uff_E=636.00,-9.4
hur_model_ZINC13137083_uff_E=403.16,-9.4
hur_model_ZINC67870595_uff_E=1343.37,-9.4
hur_model_ZINC77267059_uff_E=664.69,-9.4
hur_model_ZINC77267292_uff_E=691.87,-9.4
hur_model_ZINC15675924_uff_E=760.36,-9.4
hur_model_ZINC15675938_uff_E=844.28,-9.4
hur_model_ZINC15675940_uff_E=788.17,-9.4
hur_model_ZINC15676068_uff_E=829.18,-9.4
hur_model_ZINC20464531_uff_E=1069.23,-9.4
hur_model_ZINC30879537_uff_E=718.38,-9.4
hur_model_ZINC04147854_uff_E=1160.24,-9.4
hur_model_ZINC06576216_uff_E=323.11,-9.4
hur_model_ZINC67870574_uff_E=1034.13,-9.3
hur_model_ZINC22752834_uff_E=532.58,-9.3
hur_model_ZINC20504069_uff_E=630.06,-9.3
hur_model_ZINC15675542_uff_E=941.87,-9.3
hur_model_ZINC08779971_uff_E=419.97,-9.3
hur_model_ZINC22936745_uff_E=963.83,-9.3
hur_model_ZINC67870818_uff_E=747.29,-9.3
hur_model_ZINC39311681_uff_E=826.15,-9.3
hur_model_ZINC04221980_uff_E=1129.57,-9.3
hur_model_ZINC15675772_uff_E=777.12,-9.3
hur_model_ZINC15675924_uff_E=760.36,-9.3
hur_model_ZINC15675946_uff_E=834.22,-9.3
hur_model_ZINC67879265_uff_E=669.63,-9.3
hur_model_ZINC15707197_uff_E=861.19,-9.3
hur_model_ZINC15707222_uff_E=883.96,-9.3
hur_model_ZINC09186673_uff_E=367.96,-9.3
hur_model_ZINC59676914_uff_E=1144.13,-9.3
hur_model_ZINC06576216_uff_E=323.11,-9.3
hur_model_ZINC09186673_uff_E=457.76,-9.3
hur_model_ZINC20503844_uff_E=1062.30,-9.3
hur_model_ZINC20503844_uff_E=1062.30,-9.3
hur_model_ZINC22752845_uff_E=394.85,-9.2
hur_model_ZINC08779830_uff_E=898.12,-9.2
hur_model_ZINC22752845_uff_E=396.60,-9.2
hur_model_ZINC22752839_uff_E=604.39,-9.2
hur_model_ZINC20504046_uff_E=627.80,-9.2
hur_model_ZINC08846613_uff_E=636.00,-9.2
hur_model_ZINC72320672_uff_E=450.67,-9.2
hur_model_ZINC72320703_uff_E=741.96,-9.2
hur_model_ZINC22936745_uff_E=963.83,-9.2
hur_model_ZINC67870820_uff_E=877.28,-9.2
hur_model_ZINC67870835_uff_E=779.67,-9.2
